"PSEBR_a502,Conserved hypothetical protein","ELZ14_02790,glycosyltransferase family 1 protein","PSBVI21_RS0123220,glycosyltransferase family 1 protein","P908_RS29335,glycosyltransferase family 1 protein","BK653_22885,glycosyltransferase,IDENTICAL PARALOGS:,BK653_25680,glycosyltransferase","BK654_12665,glycosyltransferase","BK655_02845,glycosyltransferase","SAMN04490180_5197,Glycosyl transferases group 1","CD58_02615,glycosyltransferase","BK657_06480,glycosyltransferase","A0U95_13585,glycosyltransferase","AK973_0645,Glycosyltransferase in large core OS assembly cluster","LZ4_RS01940,glycosyl transferase","AW28_RS23290,glycosyltransferase family 1 protein","AD658_RS03130,glycosyltransferase family 1 protein","BK656_02515,glycosyltransferase","BK652_18805,glycosyltransferase"
"PSEBR_a505,Conserved hypothetical protein","ELZ14_02805,metal ABC transporter ATPase","PSBVI21_RS0123235,hypothetical protein","P908_RS29320,hypothetical protein","BK653_22870,metal ABC transporter ATPase,IDENTICAL PARALOGS:,BK653_25695,metal ABC transporter ATPase","BK654_12680,metal ABC transporter ATPase","BK655_02860,metal ABC transporter ATPase","SAMN04490180_5200,hypothetical protein","CD58_02630,metal ABC transporter ATPase","BK657_06495,metal ABC transporter ATPase","A0U95_13570,metal ABC transporter ATPase","AK973_0648,Cation transport ATPase","LZ4_RS01900,hypothetical protein","AW28_RS23305,hypothetical protein","AD658_RS03145,hypothetical protein","BK656_02530,metal ABC transporter ATPase","BK652_18845,metal ABC transporter ATPase"
"PSEBR_a506,Putative aldo/keto reductase","ELZ14_02810,aldo/keto reductase","PSBVI21_RS0123240,aldo/keto reductase","P908_RS29315,aldo/keto reductase","BK653_22865,aldo/keto reductase,IDENTICAL PARALOGS:,BK653_25700,aldo/keto reductase","BK654_12685,aldo/keto reductase","BK655_02865,aldo/keto reductase","SAMN04490180_5201,Predicted oxidoreductase","CD58_02635,aldo/keto reductase","BK657_06500,aldo/keto reductase","A0U95_13565,aldo/keto reductase","AK973_0649,Oxydoreductase, Aldo/Keto reductase family","LZ4_RS01895,aldo/keto reductase","AW28_RS23310,aldo/keto reductase","AD658_RS03150,aldo/keto reductase","BK656_02535,aldo/keto reductase","BK652_18850,aldo/keto reductase"
"PSEBR_a507,Conserved hypothetical protein","ELZ14_02815,FAD-dependent oxidoreductase","PSBVI21_RS0123245,FAD-dependent oxidoreductase","P908_RS29310,FAD-dependent oxidoreductase","BK653_22860,FAD-dependent oxidoreductase,IDENTICAL PARALOGS:,BK653_25705,FAD-dependent oxidoreductase","BK654_12690,FAD-dependent oxidoreductase","BK655_02870,FAD-dependent oxidoreductase","SAMN04490180_5202,Glycerol-3-phosphate dehydrogenase","CD58_02640,FAD-dependent oxidoreductase","BK657_06505,FAD-dependent oxidoreductase","A0U95_13560,FAD-dependent oxidoreductase","AK973_0650,Oxidoreductase, FAD-binding","LZ4_RS01890,FAD-dependent oxidoreductase","AW28_RS23315,FAD-dependent oxidoreductase","AD658_RS03155,FAD-dependent oxidoreductase","BK656_02540,FAD-dependent oxidoreductase","BK652_18855,FAD-dependent oxidoreductase"
"PSEBR_a508,Putative quaternary ammonium compound-resistance protein","ELZ14_02820,multidrug efflux SMR transporter","PSBVI21_RS0123250,multidrug efflux SMR transporter","P908_RS29305,multidrug efflux SMR transporter","BK653_22855,multidrug DMT transporter,IDENTICAL PARALOGS:,BK653_25710,multidrug DMT transporter","BK654_12695,multidrug DMT transporter","BK655_02875,multidrug DMT transporter","SAMN04490180_5203,small multidrug resistance pump","CD58_02645,hypothetical protein","BK657_06510,multidrug DMT transporter","A0U95_13555,multidrug DMT transporter","AK973_0651,Ethidium bromide-methyl viologen resistance","LZ4_RS01885,multidrug efflux SMR transporter","AW28_RS23320,multidrug efflux SMR transporter","AD658_RS03160,multidrug efflux SMR transporter","BK656_02545,multidrug DMT transporter","BK652_18860,multidrug DMT transporter"
"PSEBR_a509,Putative transcription factor, LysR family","ELZ14_02825,LysR family transcriptional regulator","PSBVI21_RS0123255,LysR family transcriptional regulator","P908_RS29300,LysR family transcriptional regulator","BK653_22850,LysR family transcriptional regulator,IDENTICAL PARALOGS:,BK653_25715,LysR family transcriptional regulator","BK654_12700,LysR family transcriptional regulator","BK655_02880,LysR family transcriptional regulator","SAMN04490180_5204,DNA-binding transcriptional regulator, LysR family","CD58_02650,LysR family transcriptional regulator","BK657_06515,LysR family transcriptional regulator","A0U95_13550,LysR family transcriptional regulator","AK973_0652,LysR family transcriptional regulator","LZ4_RS01880,LysR family transcriptional regulator","AW28_RS23325,LysR family transcriptional regulator","AD658_RS03165,LysR family transcriptional regulator","BK656_02550,LysR family transcriptional regulator","BK652_18865,LysR family transcriptional regulator"
"PSEBR_a510,3-deoxy-d-manno-octulosonic-acid transferase","ELZ14_02830,3-deoxy-D-manno-octulosonic acid transferase","PSBVI21_RS0123260,3-deoxy-D-manno-octulosonic acid transferase","P908_RS29295,3-deoxy-D-manno-octulosonic acid transferase","BK653_22845,3-deoxy-D-manno-octulosonic acid transferase,IDENTICAL PARALOGS:,BK653_25720,3-deoxy-D-manno-octulosonic acid transferase","BK654_12705,3-deoxy-D-manno-octulosonic acid transferase","BK655_02885,3-deoxy-D-manno-octulosonic acid transferase","SAMN04490180_5205,3-deoxy-D-manno-octulosonic-acid transferase","CD58_02655,3-deoxy-D-manno-octulosonic acid transferase","BK657_06520,3-deoxy-D-manno-octulosonic acid transferase","A0U95_13545,3-deoxy-D-manno-octulosonic acid transferase","AK973_0653,3-deoxy-D-manno-octulosonic-acid transferase","LZ4_RS01875,3-deoxy-D-manno-octulosonic acid transferase","AW28_RS23330,3-deoxy-D-manno-octulosonic acid transferase","AD658_RS03170,3-deoxy-D-manno-octulosonic acid transferase","BK656_02555,3-deoxy-D-manno-octulosonic acid transferase","BK652_18870,3-deoxy-D-manno-octulosonic acid transferase"
"PSEBR_a511,Conserved hypothetical protein; putative outer membrane protein","ELZ14_02835,channel protein TolC","PSBVI21_RS0123265,channel protein TolC","P908_RS29290,channel protein TolC","BK653_22840,channel protein TolC,IDENTICAL PARALOGS:,BK653_25725,channel protein TolC","BK654_12710,channel protein TolC","BK655_02890,channel protein TolC","SAMN04490180_5206,outer membrane protein","CD58_02660,channel protein TolC","BK657_06525,channel protein TolC","A0U95_13540,channel protein TolC","AK973_0654,Type I secretion outer membrane protein, TolC precursor","LZ4_RS01870,channel protein TolC","AW28_RS23335,channel protein TolC","AD658_RS03175,channel protein TolC","BK656_02560,channel protein TolC","BK652_18875,channel protein TolC"
"PSEBR_a512,Thiamine biosynthesis protein","ELZ14_02840,phosphomethylpyrimidine synthase ThiC","PSBVI21_RS0123270,phosphomethylpyrimidine synthase ThiC","P908_RS29285,phosphomethylpyrimidine synthase ThiC","BK653_22835,phosphomethylpyrimidine synthase ThiC,IDENTICAL PARALOGS:,BK653_25730,phosphomethylpyrimidine synthase ThiC","BK654_12715,phosphomethylpyrimidine synthase ThiC","BK655_02895,phosphomethylpyrimidine synthase ThiC","SAMN04490180_5207,hydroxymethylpyrimidine synthase","CD58_02665,thiamine biosynthesis protein ThiC","BK657_06530,phosphomethylpyrimidine synthase ThiC","A0U95_13535,phosphomethylpyrimidine synthase ThiC","AK973_0655,Hydroxymethylpyrimidine phosphate synthase ThiC","LZ4_RS01865,phosphomethylpyrimidine synthase ThiC","AW28_RS23340,phosphomethylpyrimidine synthase ThiC","AD658_RS03180,phosphomethylpyrimidine synthase ThiC","BK656_02565,phosphomethylpyrimidine synthase ThiC","BK652_18880,phosphomethylpyrimidine synthase ThiC"
"PSEBR_a513,Putative transporter","ELZ14_02845,putative hydroxymethylpyrimidine transporter CytX","PSBVI21_RS0123275,putative hydroxymethylpyrimidine transporter CytX","P908_RS29280,putative hydroxymethylpyrimidine transporter CytX","BK653_22830,nitrate reductase,IDENTICAL PARALOGS:,BK653_25735,nitrate reductase","BK654_12720,nitrate reductase","BK655_02900,nitrate reductase","SAMN04490180_5208,putative hydroxymethylpyrimidine transporter CytX","CD58_02670,nitrate reductase","BK657_06535,nitrate reductase","A0U95_13530,nitrate reductase","AK973_0657,putative hydroxymethylpyrimidine transporter CytX","LZ4_RS01860,putative hydroxymethylpyrimidine transporter CytX","AW28_RS23345,putative hydroxymethylpyrimidine transporter CytX","AD658_RS03185,putative hydroxymethylpyrimidine transporter CytX","BK656_02570,nitrate reductase","BK652_18885,nitrate reductase"
"PSEBR_a514,Putative lipoprotein","ELZ14_02850,DUF3298 domain-containing protein","PSBVI21_RS0123280,DUF3298 domain-containing protein","P908_RS29275,DUF3298 domain-containing protein","BK653_22825,DUF3298 domain-containing protein,IDENTICAL PARALOGS:,BK653_25740,DUF3298 domain-containing protein","BK654_12725,DUF3298 domain-containing protein","BK655_02905,DUF3298 domain-containing protein","SAMN04490180_5209,hypothetical protein","CD58_02675,lipoprotein","BK657_06540,DUF3298 domain-containing protein","A0U95_13525,hypothetical protein","AK973_0658,lipoprotein, putative","LZ4_RS01855,DUF3298 domain-containing protein","AW28_RS23350,DUF3298 domain-containing protein","AD658_RS03190,DUF3298 domain-containing protein","BK656_02575,DUF3298 domain-containing protein","BK652_18890,DUF3298 domain-containing protein"
"PSEBR_a515,ADP-ribose diphosphatase","ELZ14_02855,NUDIX domain-containing protein","PSBVI21_RS0123285,NUDIX domain-containing protein","P908_RS29270,NUDIX domain-containing protein","BK653_22820,ADP-ribose diphosphatase,IDENTICAL PARALOGS:,BK653_25745,ADP-ribose diphosphatase","BK654_12730,ADP-ribose diphosphatase","BK655_02910,ADP-ribose diphosphatase","SAMN04490180_5210,ADP-ribose pyrophosphatase","CD58_02680,hypothetical protein","BK657_06545,ADP-ribose diphosphatase","A0U95_13520,ADP-ribose pyrophosphatase","AK973_0659,ADP-ribose pyrophosphatase","LZ4_RS01850,NUDIX domain-containing protein","AW28_RS23355,NUDIX domain-containing protein","AD658_RS03195,NUDIX domain-containing protein","BK656_02580,ADP-ribose diphosphatase","BK652_18895,ADP-ribose diphosphatase"
"PSEBR_a516,Conserved hypothetical protein","ELZ14_02860,DUF1249 domain-containing protein","PSBVI21_RS0123290,DUF1249 domain-containing protein","P908_RS29265,DUF1249 domain-containing protein","BK653_22815,cytoplasmic protein,IDENTICAL PARALOGS:,BK653_25750,cytoplasmic protein","BK654_12735,cytoplasmic protein","BK655_02915,cytoplasmic protein","SAMN04490180_5211,hypothetical protein","CD58_02685,hypothetical protein","BK657_06550,cytoplasmic protein","A0U95_13515,cytoplasmic protein","AK973_0660,hypothetical protein","LZ4_RS01845,DUF1249 domain-containing protein","AW28_RS23360,DUF1249 domain-containing protein","AD658_RS03200,DUF1249 domain-containing protein","BK656_02585,cytoplasmic protein","BK652_18900,cytoplasmic protein"
"PSEBR_a519,Conserved hypothetical protein","ELZ14_02885,esterase","PSBVI21_RS0123305,esterase","P908_RS29250,esterase","BK653_22800,esterase,IDENTICAL PARALOGS:,BK653_25765,esterase","BK654_12750,esterase","BK655_02930,esterase","SAMN04490180_5215,hypothetical protein","CD58_02700,esterase","BK657_06565,esterase","A0U95_13500,esterase","AK973_0665,Putative esterase","LZ4_RS09300,esterase","AW28_RS23375,esterase","AD658_RS03215,esterase","BK656_02600,esterase","BK652_18915,esterase"
"PSEBR_a520,Topoisomerase IV subunit B","ELZ14_02890,DNA topoisomerase IV subunit B","PSBVI21_RS0123310,DNA topoisomerase IV subunit B","P908_RS29245,DNA topoisomerase IV subunit B","BK653_22795,DNA topoisomerase IV subunit B,IDENTICAL PARALOGS:,BK653_25770,DNA topoisomerase IV subunit B","BK654_12755,DNA topoisomerase IV subunit B","BK655_02935,DNA topoisomerase IV subunit B","SAMN04490180_5216,DNA topoisomerase IV subunit B","CD58_02705,DNA topoisomerase IV subunit B","BK657_06570,DNA topoisomerase IV subunit B","A0U95_13495,DNA topoisomerase IV subunit B","AK973_0666,Topoisomerase IV subunit B","LZ4_RS09305,DNA topoisomerase IV subunit B","AW28_RS23380,DNA topoisomerase IV subunit B","AD658_RS03220,DNA topoisomerase IV subunit B","BK656_02605,DNA topoisomerase IV subunit B","BK652_18920,DNA topoisomerase IV subunit B"
"PSEBR_a521,Conserved hypothetical protein; putative exported protein","ELZ14_02895,DNA topoisomerase IV","PSBVI21_RS0123315,hypothetical protein","P908_RS29240,hypothetical protein","BK653_22790,DNA topoisomerase IV,IDENTICAL PARALOGS:,BK653_25775,DNA topoisomerase IV","BK654_12760,DNA topoisomerase IV","BK655_02940,DNA topoisomerase IV","SAMN04490180_5217,Esterase-like activity of phytase","CD58_02710,DNA topoisomerase IV subunit B","BK657_06575,DNA topoisomerase IV","A0U95_13490,DNA topoisomerase IV","AK973_0667,hypothetical protein","LZ4_RS09310,DNA topoisomerase IV subunit B","AW28_RS23385,hypothetical protein","AD658_RS03225,DNA topoisomerase IV","BK656_02610,DNA topoisomerase IV","BK652_18925,DNA topoisomerase IV"
"PSEBR_c2g18,Conserved hypothetical protein","ELZ14_02900,TIGR02281 family clan AA aspartic protease","PSBVI21_RS0123320,TIGR02281 family clan AA aspartic protease","P908_RS29235,TIGR02281 family clan AA aspartic protease","BK653_22785,aspartyl protease,IDENTICAL PARALOGS:,BK653_25780,aspartyl protease","BK654_12765,aspartyl protease","BK655_02945,aspartyl protease","SAMN04490180_5218,aspartyl protease family protein","CD58_02715,aspartyl protease","BK657_06580,aspartyl protease","A0U95_13485,aspartyl protease","AK973_0668,Transporter","LZ4_RS09315,TIGR02281 family clan AA aspartic protease","AW28_RS23390,TIGR02281 family clan AA aspartic protease","AD658_RS03230,TIGR02281 family clan AA aspartic protease","BK656_02615,aspartyl protease","BK652_18930,aspartyl protease"
"PSEBR_a522,DNA topoisomerase IV subunit A","ELZ14_02905,DNA topoisomerase IV subunit A","PSBVI21_RS0123325,DNA topoisomerase IV subunit A","P908_RS29230,DNA topoisomerase IV subunit A","BK653_22780,DNA topoisomerase IV subunit A,IDENTICAL PARALOGS:,BK653_25785,DNA topoisomerase IV subunit A","BK654_12770,DNA topoisomerase IV subunit A","BK655_02950,DNA topoisomerase IV subunit A","SAMN04490180_5219,DNA topoisomerase IV subunit A","CD58_02720,DNA topoisomerase IV subunit A","BK657_06585,DNA topoisomerase IV subunit A","A0U95_13480,DNA topoisomerase IV subunit A","AK973_0669,Topoisomerase IV subunit A","LZ4_RS09320,DNA topoisomerase IV subunit A","AW28_RS23395,DNA topoisomerase IV subunit A","AD658_RS03235,DNA topoisomerase IV subunit A","BK656_02620,DNA topoisomerase IV subunit A","BK652_18935,DNA topoisomerase IV subunit A"
"PSEBR_a523,Conserved hypothetical protein; putative exported protein","ELZ14_02910,membrane integrity-associated transporter subunit PqiC","PSBVI21_RS0123330,membrane integrity-associated transporter subunit PqiC","P908_RS29225,membrane integrity-associated transporter subunit PqiC","BK653_22775,hypothetical protein,IDENTICAL PARALOGS:,BK653_25790,hypothetical protein","BK654_12775,hypothetical protein","BK655_02955,hypothetical protein","SAMN04490180_5220,hypothetical protein","CD58_02725,hypothetical protein","BK657_06590,hypothetical protein","A0U95_13475,hypothetical protein","AK973_0670,Phosphonate ABC transporter phosphate-binding periplasmic component","LZ4_RS09325,membrane integrity-associated transporter subunit PqiC","AW28_RS23400,membrane integrity-associated transporter subunit PqiC","AD658_RS03240,membrane integrity-associated transporter subunit PqiC","BK656_02625,hypothetical protein","BK652_18940,hypothetical protein"
"PSEBR_a524,Conserved hypothetical protein; putative membrane protein","ELZ14_02915,HAMP domain-containing protein","PSBVI21_RS0123335,HAMP domain-containing protein","P908_RS29220,HAMP domain-containing protein","BK653_22770,histidine kinase,IDENTICAL PARALOGS:,BK653_25795,histidine kinase","BK654_12785,histidine kinase","BK655_02960,histidine kinase","SAMN04490180_5221,Uncharacterized membrane protein affecting hemolysin expression","CD58_02730,histidine kinase","BK657_06595,histidine kinase","A0U95_13470,histidine kinase","AK973_0671,HAMP domain protein","LZ4_RS09330,HAMP domain-containing protein","AW28_RS23405,HAMP domain-containing protein","AD658_RS03245,HAMP domain-containing protein","BK656_02630,histidine kinase","BK652_18945,histidine kinase"
"PSEBR_a525,Putative phosphoserine phosphatase","ELZ14_02920,phosphoserine phosphatase SerB","PSBVI21_RS0123340,phosphoserine phosphatase SerB","P908_RS29215,phosphoserine phosphatase SerB","BK653_22765,phosphoserine phosphatase SerB,IDENTICAL PARALOGS:,BK653_25800,phosphoserine phosphatase SerB","BK654_12790,phosphoserine phosphatase SerB","BK655_02965,phosphoserine phosphatase SerB","SAMN04490180_5222,phosphoserine phosphatase","CD58_02735,phosphoserine phosphatase","BK657_06600,phosphoserine phosphatase SerB","A0U95_13465,phosphoserine phosphatase","AK973_0672,Phosphoserine phosphatase","LZ4_RS09335,phosphoserine phosphatase SerB","AW28_RS23410,phosphoserine phosphatase SerB","AD658_RS03250,phosphoserine phosphatase SerB","BK656_02635,phosphoserine phosphatase SerB","BK652_18950,phosphoserine phosphatase SerB"
"PSEBR_a527,Phosphatidylserine decarboxylase","ELZ14_02930,phosphatidylserine decarboxylase","PSBVI21_RS0123350,phosphatidylserine decarboxylase","P908_RS29205,phosphatidylserine decarboxylase","BK653_22755,phosphatidylserine decarboxylase,IDENTICAL PARALOGS:,BK653_25810,phosphatidylserine decarboxylase","BK654_12800,phosphatidylserine decarboxylase","BK655_02975,phosphatidylserine decarboxylase","SAMN04490180_5225,phosphatidylserine decarboxylase","CD58_02745,phosphatidylserine decarboxylase","BK657_06610,phosphatidylserine decarboxylase","A0U95_13455,phosphatidylserine decarboxylase","AK973_0674,Phosphatidylserine decarboxylase","LZ4_RS09345,phosphatidylserine decarboxylase","AW28_RS23420,phosphatidylserine decarboxylase","AD658_RS03260,phosphatidylserine decarboxylase","BK656_02645,phosphatidylserine decarboxylase","BK652_18960,phosphatidylserine decarboxylase"
"PSEBR_a528,Thiosulfate sulfurtransferase","ELZ14_02935,sulfurtransferase","PSBVI21_RS0123355,sulfurtransferase","P908_RS29200,sulfurtransferase","BK653_22750,thiosulfate sulfurtransferase,IDENTICAL PARALOGS:,BK653_25815,thiosulfate sulfurtransferase","BK654_12805,thiosulfate sulfurtransferase","BK655_02980,thiosulfate sulfurtransferase","SAMN04490180_5226,thiosulfate sulfurtransferase","CD58_02750,thiosulfate sulfurtransferase","BK657_06615,thiosulfate sulfurtransferase","A0U95_13450,thiosulfate sulfurtransferase","AK973_0675,Thiosulfate sulfurtransferase, rhodanese","LZ4_RS09350,sulfurtransferase","AW28_RS23425,sulfurtransferase","AD658_RS03265,sulfurtransferase","BK656_02650,thiosulfate sulfurtransferase","BK652_18965,thiosulfate sulfurtransferase"
"PSEBR_a529,Conserved hypothetical protein","ELZ14_02940,HDOD domain-containing protein","PSBVI21_RS0123360,HDOD domain-containing protein","P908_RS29195,HDOD domain-containing protein","BK653_22745,histidine kinase,IDENTICAL PARALOGS:,BK653_25820,histidine kinase","BK654_12810,histidine kinase","BK655_02985,histidine kinase","SAMN04490180_5227,HDOD domain-containing protein","CD58_02755,histidine kinase","BK657_06620,histidine kinase","A0U95_13445,histidine kinase","AK973_0676,putative signal transduction protein","LZ4_RS09355,HDOD domain-containing protein","AW28_RS23430,HDOD domain-containing protein","AD658_RS03270,HDOD domain-containing protein","BK656_02655,histidine kinase","BK652_18970,histidine kinase"
"PSEBR_a530,Chemotaxis protein","ELZ14_02945,flagellar motor stator protein MotA","PSBVI21_RS0123365,flagellar motor stator protein MotA","P908_RS29190,flagellar motor stator protein MotA","BK653_22740,flagellar motor stator protein MotA,IDENTICAL PARALOGS:,BK653_25825,flagellar motor stator protein MotA","BK654_12815,flagellar motor stator protein MotA","BK655_02990,flagellar motor stator protein MotA","SAMN04490180_5228,chemotaxis protein MotA","CD58_02760,flagellar motor protein MotA","BK657_06625,flagellar motor stator protein MotA","A0U95_13440,flagellar motor stator protein MotA","AK973_0677,Flagellar motor rotation protein MotA","LZ4_RS09360,flagellar motor stator protein MotA","AW28_RS23435,flagellar motor stator protein MotA","AD658_RS03275,flagellar motor stator protein MotA","BK656_02660,flagellar motor stator protein MotA","BK652_18975,flagellar motor stator protein MotA"
"PSEBR_a531,Chemotaxis protein","ELZ14_02955,motility protein MotB","PSBVI21_RS0123370,motility protein MotB","P908_RS29185,motility protein MotB","BK653_22735,flagellar motor protein MotB,IDENTICAL PARALOGS:,BK653_25830,flagellar motor protein MotB","BK654_12820,flagellar motor protein MotB","BK655_02995,flagellar motor protein MotB","SAMN04490180_5229,chemotaxis protein MotB","CD58_02765,flagellar motor protein MotB","BK657_06630,flagellar motor protein MotB","A0U95_13435,flagellar motor protein MotB","AK973_0678,Flagellar motor rotation protein MotB","LZ4_RS09365,motility protein MotB","AW28_RS23440,motility protein MotB","AD658_RS03280,motility protein MotB","BK656_02665,flagellar motor protein MotB","BK652_18980,flagellar motor protein MotB"
"PSEBR_a532,Putative GTPase","ELZ14_02960,small ribosomal subunit biogenesis GTPase RsgA","PSBVI21_RS0123375,small ribosomal subunit biogenesis GTPase RsgA","P908_RS29180,small ribosomal subunit biogenesis GTPase RsgA","BK653_22730,ribosome biogenesis GTPase RsgA,IDENTICAL PARALOGS:,BK653_25835,ribosome biogenesis GTPase RsgA","BK654_12825,ribosome biogenesis GTPase RsgA","BK655_03000,ribosome biogenesis GTPase RsgA","SAMN04490180_5230,ribosome biogenesis GTPase","CD58_02770,GTPase RsgA","BK657_06635,ribosome biogenesis GTPase RsgA","A0U95_13430,ribosome small subunit-dependent GTPase","AK973_0679,Ribosome small subunit-stimulated GTPase EngC","LZ4_RS09370,small ribosomal subunit biogenesis GTPase RsgA","AW28_RS23445,small ribosomal subunit biogenesis GTPase RsgA","AD658_RS03285,small ribosomal subunit biogenesis GTPase RsgA","BK656_02670,ribosome biogenesis GTPase RsgA","BK652_18985,ribosome biogenesis GTPase RsgA"
"PSEBR_a533,Oligoribonuclease","ELZ14_02965,oligoribonuclease","PSBVI21_RS0123380,oligoribonuclease","P908_RS29175,oligoribonuclease","BK653_22725,oligoribonuclease,IDENTICAL PARALOGS:,BK653_25840,oligoribonuclease","BK654_12830,oligoribonuclease","BK655_03005,oligoribonuclease","SAMN04490180_5231,oligoribonuclease","CD58_02775,oligoribonuclease","BK657_06640,oligoribonuclease","A0U95_13425,oligoribonuclease","AK973_0680,3-to-5 oligoribonuclease (orn)","LZ4_RS09375,oligoribonuclease","AW28_RS23450,oligoribonuclease","AD658_RS03290,oligoribonuclease","BK656_02675,oligoribonuclease","BK652_18990,oligoribonuclease"
"PSEBR_a534,Conserved hypothetical protein; putative membrane protein","ELZ14_02975,trimeric intracellular cation channel family protein","PSBVI21_RS0123385,trimeric intracellular cation channel family protein","P908_RS29170,trimeric intracellular cation channel family protein","BK653_22720,hypothetical protein,IDENTICAL PARALOGS:,BK653_25845,hypothetical protein","BK654_12835,hypothetical protein","BK655_03010,hypothetical protein","SAMN04490180_5232,Uncharacterized membrane protein YeiH","CD58_02780,membrane protein","BK657_06645,hypothetical protein","A0U95_13420,hypothetical protein","AK973_0681,putative membrane protein","LZ4_RS09380,trimeric intracellular cation channel family protein","AW28_RS23455,trimeric intracellular cation channel family protein","AD658_RS03295,trimeric intracellular cation channel family protein","BK656_02680,hypothetical protein","BK652_18995,hypothetical protein"
"PSEBR_a535,Conserved hypothetical protein; putative iron-sulfur binding protein","ELZ14_02980,tRNA epoxyqueuosine(34) reductase QueG","PSBVI21_RS0123390,tRNA epoxyqueuosine(34) reductase QueG","P908_RS29165,tRNA epoxyqueuosine(34) reductase QueG","BK653_22715,tRNA epoxyqueuosine(34) reductase QueG,IDENTICAL PARALOGS:,BK653_25850,tRNA epoxyqueuosine(34) reductase QueG","BK654_12840,tRNA epoxyqueuosine(34) reductase QueG","BK655_03015,tRNA epoxyqueuosine(34) reductase QueG","SAMN04490180_5233,epoxyqueuosine reductase","CD58_02785,epoxyqueuosine reductase","BK657_06650,tRNA epoxyqueuosine(34) reductase QueG","A0U95_13415,epoxyqueuosine reductase","AK973_0682,Epoxyqueuosine (oQ) reductase QueG","LZ4_RS09385,tRNA epoxyqueuosine(34) reductase QueG","AW28_RS23460,tRNA epoxyqueuosine(34) reductase QueG","AD658_RS03300,tRNA epoxyqueuosine(34) reductase QueG","BK656_02685,tRNA epoxyqueuosine(34) reductase QueG","BK652_19000,tRNA epoxyqueuosine(34) reductase QueG"
"PSEBR_a536,Conserved hypothetical protein","ELZ14_02985,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","PSBVI21_RS0123395,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","P908_RS29160,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","BK653_22710,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,IDENTICAL PARALOGS:,BK653_25855,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","BK654_12845,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","BK655_03020,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","SAMN04490180_5234,NAD(P)H-hydrate epimerase","CD58_02790,hypothetical protein","BK657_06655,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","A0U95_13410,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","AK973_0683,NAD(P)HX epimerase","LZ4_RS09390,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","AW28_RS23465,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","AD658_RS03305,NAD(P)H-hydrate dehydratase","BK656_02690,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","BK652_19005,bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase"
"PSEBR_a537,Conserved hypothetical protein","ELZ14_02990,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","PSBVI21_RS0123400,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","P908_RS29155,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","BK653_22705,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,IDENTICAL PARALOGS:,BK653_25860,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","BK654_12850,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","BK655_03025,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","SAMN04490180_5235,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","CD58_02795,ATPase","BK657_06660,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","A0U95_13405,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","AK973_0684,TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA","LZ4_RS09395,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","AW28_RS23470,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","AD658_RS03310,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","BK656_02695,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE","BK652_19010,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE"
