Name;Pseudomonas_brassicacearum_strain_3Re2_7_3Re2_7 ;Pseudomonas_brassicacearum_strain_51MFCVI2 ;Pseudomonas_brassicacearum_strain_BS3663_BS3663 ;Pseudomonas_brassicacearum_strain_L13_6_12_L13_6_12 ;Pseudomonas_brassicacearum_strain_LBUM300_LBUM300 ;Pseudomonas_brassicacearum_strain_NFM421_NFM421 ;Pseudomonas_brassicacearum_strain_PA1G7 ;Pseudomonas_brassicacearum_strain_PP1_210F ;Pseudomonas_brassicacearum_strain_TM1A3 
Ribonuclease HII;1;1;1;1;1;1;1;1;1
DNA polymerase III subunit alpha;1;1;1;1;1;1;1;1;1
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha;1;1;1;1;1;1;1;1;1
tRNA(Ile)-lysidine synthase;1;1;1;1;1;1;1;1;1
CTP synthase;1;1;1;1;1;1;1;1;1
2-dehydro-3-deoxyphosphooctonate aldolase;1;1;1;1;1;1;1;1;1
Enolase;1;1;1;1;1;1;1;1;1
Cell division protein FtsB;1;1;1;1;1;1;1;1;1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
S-(hydroxymethyl)glutathione dehydrogenase;1;1;1;1;1;1;1;1;1
S-formylglutathione hydrolase YeiG;1;1;1;1;1;1;1;1;1
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;1;1;1;1;1;1;1;1;1
tRNA pseudouridine synthase D;1;1;1;1;1;1;1;1;1
5-nucleotidase SurE;1;1;1;1;1;1;1;1;1
Protein-L-isoaspartate O-methyltransferase;1;1;1;1;1;1;1;1;1
Murein hydrolase activator NlpD precursor;1;1;1;1;1;1;1;1;1
RNA polymerase sigma factor RpoS;1;1;1;1;1;1;1;1;1
Ferredoxin 1;1;1;1;1;1;1;1;1;1
DNA mismatch repair protein MutS;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator PrtR;1;1;1;1;1;1;1;1;1
Colicin-M;1;1;1;1;0;1;0;1;0
Phage tail sheath protein;1;1;1;1;0;1;0;1;1
Phage tail tube protein;1;1;1;1;0;1;0;1;1
Phage late control gene D protein (GPD);1;1;1;1;0;1;0;1;1
Bacteriophage Mu Gp45 protein;1;1;1;1;0;1;0;1;1
Phage protein GP46;1;1;1;1;0;1;0;1;1
Baseplate J-like protein;1;1;1;1;0;1;0;1;1
Caudovirales tail fiber assembly protein;1;1;1;1;0;1;0;1;1
Chitinase class I;1;1;1;1;1;1;1;1;1
Bacteriophage lysis protein;1;1;1;1;1;1;1;1;1
Nicotinamide-nucleotide amidohydrolase PncC;1;1;1;1;1;1;1;1;1
recombinase A;1;1;1;1;1;1;1;1;1
Regulatory protein RecX;1;1;1;1;1;1;1;1;1
putative lysine decarboxylase;1;1;1;1;1;1;1;1;1
DTW domain protein;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein DegU;1;1;1;1;1;1;1;1;1
Diacylglycerol kinase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator CmpR;1;1;1;1;1;1;1;1;1
Ferredoxin--NADP reductase;1;1;1;1;1;1;1;1;1
putative tRNA (adenine(37)-N6)-methyltransferase;1;1;1;1;1;1;1;1;1
Ribosomal large subunit pseudouridine synthase F;1;1;1;1;1;1;1;1;1
putative N-acetyltransferase YjaB;1;1;1;1;1;1;1;1;1
Ribosomal protein S12 methylthiotransferase RimO;1;1;1;1;1;1;1;1;1
potassium transport protein Kup;1;1;1;1;1;1;1;1;1
Bacterial virulence protein (VirJ);1;1;1;1;1;1;1;1;1
Phosphatidylglycerol lysyltransferase;1;1;1;1;1;1;1;1;1
DNA polymerase IV;1;1;1;1;1;1;1;1;1
Proline--tRNA ligase;1;1;1;1;1;1;1;1;1
muropeptide transporter;1;1;1;1;1;1;1;1;1
Methylated-DNA--protein-cysteine methyltransferase;1;1;1;1;1;1;1;1;1
Cold shock protein CapB;1;1;1;1;1;1;1;1;1
Deoxycytidine triphosphate deaminase;1;1;1;1;1;1;1;1;1
putative ATP-dependent helicase Lhr;1;1;1;1;1;1;1;1;1
Histidine transport ATP-binding protein HisP;1;1;1;1;1;1;1;1;1
Succinylglutamate desuccinylase / Aspartoacylase family protein;1;1;1;1;1;1;1;1;1
Histidine transport system permease protein HisM;1;1;1;1;1;1;1;1;1
Histidine transport system permease protein HisQ;1;1;1;1;1;1;1;1;1
Lysine-arginine-ornithine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Putative DNA ligase-like protein;1;1;1;1;1;1;1;1;1
Acyl-homoserine lactone acylase QuiP precursor;1;1;1;1;1;1;1;1;1
Isochorismatase family protein YecD;1;1;1;1;1;1;1;1;1
Late embryogenesis abundant protein;1;1;1;1;1;1;1;1;1
Outer membrane porin F precursor;1;1;1;1;1;1;1;1;1
Outer membrane porin F precursor;1;1;1;1;1;1;1;1;1
Copper resistance protein D;1;1;1;1;1;1;1;1;1
putative ATP-dependent helicase DinG;1;1;1;1;1;1;1;1;1
Beta-lactamase precursor;1;1;1;1;1;1;1;1;1
putative lipoprotein YiaD precursor;1;1;1;1;1;1;1;1;1
Pyridoxine/pyridoxamine 5-phosphate oxidase;1;1;1;1;1;1;1;1;1
Outer membrane lipoprotein SlyB precursor;1;1;1;1;1;1;1;1;1
Na(+)/H(+) antiporter NhaA;1;1;1;1;1;1;1;1;1
Cysteine synthase B;1;1;1;1;1;1;1;1;1
short chain dehydrogenase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
DoxX;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport ATP-binding protein LivF;1;1;1;1;1;1;1;1;1
Lipopolysaccharide export system ATP-binding protein LptB;1;1;1;1;1;1;1;1;1
leucine/isoleucine/valine transporter permease subunit;1;1;1;1;1;1;1;1;1
High-affinity branched-chain amino acid transport system permease protein LivH;1;1;1;1;1;1;1;1;1
Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein precursor;1;1;1;1;1;1;1;1;1
L-galactonate transporter;1;1;1;1;1;1;1;1;1
Multidrug resistance protein 3;1;1;1;1;1;1;1;1;1
p-hydroxybenzoate hydroxylase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator Btr;1;1;1;1;1;1;1;1;1
Carbamate kinase 1;1;1;1;1;1;1;1;1;1
Ornithine carbamoyltransferase, catabolic;1;1;1;1;1;1;1;1;1
Arginine deiminase;1;1;1;1;1;1;1;1;1
Arginine/ornithine antiporter;1;1;1;1;1;1;1;1;1
Arginine/ornithine antiporter;1;1;1;1;1;1;1;1;1
Formyl-coenzyme A transferase;1;1;1;1;1;1;1;1;1
Inner membrane protein YbaN;1;1;1;1;1;1;1;1;1
Heme oxygenase;1;1;1;1;1;1;1;1;1
Transferrin-binding protein 1 precursor;1;1;1;1;1;1;1;1;1
fec operon regulator FecR;1;1;1;1;1;1;1;1;1
ECF RNA polymerase sigma factor SigE;1;1;1;1;1;1;1;1;1
Glyceraldehyde-3-phosphate dehydrogenase 1;1;1;1;1;1;1;1;1;1
Phosphogluconate dehydratase;1;1;1;1;1;1;1;1;1
Glucokinase;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein OmpR;1;1;1;1;1;1;1;1;1
Osmolarity sensor protein EnvZ;1;1;1;1;1;1;1;1;1
putative sugar isomerase YihS;1;1;1;1;1;1;1;1;1
putative sugar-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
sn-glycerol-3-phosphate transport system permease protein UgpA;1;1;1;1;1;1;1;1;1
L-arabinose transport system permease protein AraQ;1;1;1;1;1;1;1;1;1
sn-glycerol-3-phosphate import ATP-binding protein UgpC;1;1;1;1;1;1;1;1;1
Porin B precursor;1;1;1;1;1;1;1;1;1
Putative glucose-6-phosphate 1-epimerase;1;1;1;1;1;1;1;1;1
putative HTH-type transcriptional regulator YbbH;1;1;1;1;1;1;1;1;1
Glucose-6-phosphate 1-dehydrogenase;1;1;1;1;1;1;1;1;1
6-phosphogluconolactonase;1;1;1;1;1;1;1;1;1
2-dehydro-3-deoxy-phosphogluconate aldolase;1;1;1;1;1;1;1;1;1
Isopenicillin N epimerase;1;1;1;1;1;1;1;1;1
DNA polymerase III subunit epsilon;1;1;1;1;1;1;1;1;1
p-hydroxybenzoic acid efflux pump subunit AaeB;1;1;1;1;1;1;1;1;1
efflux system membrane protein;1;1;1;1;1;1;1;1;1
p-hydroxybenzoic acid efflux pump subunit AaeA;1;1;1;1;1;1;1;1;1
(R)-specific enoyl-CoA hydratase;1;1;1;1;1;1;1;1;1
Phospholipase YtpA;1;1;1;1;1;1;1;1;1
Long-chain-fatty-acid--CoA ligase;1;1;1;1;1;1;1;1;1
Long-chain-fatty-acid--CoA ligase;1;1;1;1;1;1;1;1;1
Peptide deformylase;1;1;1;1;1;1;1;1;1
Acetyltransferase (GNAT) family protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator GntR;1;1;1;1;1;1;1;1;1
Thermoresistant gluconokinase;1;1;1;1;1;1;1;1;1
High-affinity gluconate transporter;1;1;1;1;1;1;1;1;1
Glutamate-pyruvate aminotransferase AlaC;1;1;1;1;1;1;1;1;1
leucine export protein LeuE;1;1;1;1;1;1;1;1;1
Bacterial transcription activator, effector binding domain;1;1;1;1;1;1;1;1;1
Pyridoxamine 5-phosphate oxidase;1;1;1;1;1;1;1;1;1
Mycothiol acetyltransferase;1;1;1;1;1;1;1;1;1
SnoaL-like domain protein;1;1;1;1;1;1;1;1;1
YCII-related domain protein;1;1;1;1;1;1;1;1;1
RNA polymerase sigma factor;1;1;1;1;1;1;1;1;1
Iron-regulated protein A precursor;1;1;1;1;1;1;1;1;1
Phytochrome-like protein cph2;1;1;1;1;1;1;1;1;1
Superoxide dismutase [Fe];1;1;1;1;1;1;1;1;1
Arginine exporter protein ArgO;1;1;1;1;1;1;1;1;1
Chromosome initiation inhibitor;1;1;1;1;1;1;1;1;1
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase;1;1;1;1;1;1;1;1;1
Chromosome partition protein Smc;1;1;1;1;1;1;1;1;1
Cache domain protein;1;1;1;1;1;1;1;1;1
RNA polymerase-associated protein RapA;1;1;1;1;1;1;1;1;1
Low-affinity inorganic phosphate transporter 1;1;1;1;1;1;1;1;1;1
Pca regulon regulatory protein;1;1;1;1;1;1;1;1;1
4-hydroxybenzoate transporter PcaK;1;1;1;1;1;1;1;1;1
3-oxoadipate CoA-transferase subunit A;1;1;1;1;1;1;1;1;1
3-oxoadipate CoA-transferase subunit B;1;1;1;1;1;1;1;1;1
Beta-ketoadipyl-CoA thiolase;1;1;1;1;1;1;1;1;1
Protocatechuate 3,4-dioxygenase beta chain;1;1;1;1;1;1;1;1;1
Protocatechuate 3,4-dioxygenase alpha chain;1;1;1;1;1;1;1;1;1
Alpha-ketoglutarate permease;1;1;1;1;1;1;1;1;1
3-carboxy-cis,cis-muconate cycloisomerase;1;1;1;1;1;1;1;1;1
3-oxoadipate enol-lactonase 2;1;1;1;1;1;1;1;1;1
Carboxymuconolactone decarboxylase family protein;1;1;1;1;1;1;1;1;1
Porin-like protein NicP precursor;1;1;1;1;1;1;1;1;1
putative efflux pump outer membrane protein TtgC precursor;1;1;1;1;1;1;1;1;1
putative efflux pump membrane transporter TtgB;1;1;1;1;1;1;1;1;1
putative efflux pump periplasmic linker TtgA precursor;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator TtgR;1;1;1;1;1;1;1;1;1
N-ethylmaleimide reductase;1;1;1;1;1;1;1;1;1
Inner membrane transport protein YdhP;1;1;1;1;1;1;1;1;1
Transcriptional repressor SdpR;1;1;1;1;1;1;1;1;1
Acyl carrier protein phosphodiesterase;1;1;1;1;1;1;1;1;1
2-acyl-glycerophospho-ethanolamine acyltransferase;1;1;1;1;1;1;1;1;1
6-aminohexanoate-dimer hydrolase;1;1;1;1;1;1;1;1;1
YceI-like domain protein;1;1;1;1;1;1;1;1;1
Major cardiolipin synthase ClsA;1;1;1;1;1;1;1;1;1
Periplasmic beta-glucosidase precursor;1;1;1;1;1;1;1;1;1
LemA family protein;1;1;1;1;1;1;1;1;1
Methyltransferase domain protein;1;1;1;1;1;1;1;1;1
Putative cysteine protease YraA;1;1;1;1;1;1;1;1;1
Alcohol dehydrogenase 2;1;1;1;1;1;1;1;1;1
Inner membrane transport protein YdhC;1;1;1;1;1;1;1;1;1
2-amino-3-ketobutyrate coenzyme A ligase;1;1;1;1;1;1;1;1;1
Glutathione transferase FosA;1;1;1;1;1;1;1;1;1
Cyclic di-GMP phosphodiesterase Gmr;1;1;1;1;1;1;1;1;1
Low affinity iron permease;1;1;1;1;1;1;1;1;1
YcfA-like protein;1;1;1;1;1;1;1;1;1
Homoserine/homoserine lactone efflux protein;1;1;1;1;1;1;1;1;1
Leucine-responsive regulatory protein;1;1;1;1;1;1;1;1;1
Zeta toxin;1;1;1;1;1;0;1;1;1
Rhamnosyltransferase 1 subunit A;1;1;1;1;1;1;1;1;1
Ribosomal small subunit pseudouridine synthase A;1;1;1;1;1;1;1;1;1
Response regulator PleD;1;1;1;1;1;1;1;1;1
Allophanate hydrolase;1;1;1;1;1;1;1;1;1
Biotin carboxylase;1;1;1;1;1;1;1;1;1
Bicarbonate transport ATP-binding protein CmpD;1;1;1;1;1;1;1;1;1
Bicarbonate transport system permease protein CmpB;1;1;1;1;1;1;1;1;1
Putative aliphatic sulfonates-binding protein precursor;1;1;1;1;1;1;1;1;1
putative enoyl-CoA hydratase echA8;1;1;1;1;1;1;1;1;1
Uracil-DNA glycosylase;1;1;1;1;1;1;1;1;1
Transposase;1;0;1;1;1;1;1;1;1
Putative ammonia monooxygenase;1;1;1;1;1;1;1;1;1
Tripartite tricarboxylate transporter TctA family protein;1;1;1;1;1;1;1;1;1
Tripartite tricarboxylate transporter TctB family protein;1;1;1;1;1;1;1;1;1
Tripartite tricarboxylate transporter family receptor;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein tctD;1;1;1;1;1;1;1;1;1
Sensor protein QseC;1;1;1;1;1;1;1;1;1
HDOD domain protein;1;1;1;1;1;1;1;1;1
tRNA-modifying protein YgfZ;1;1;1;1;1;1;1;1;1
Antitoxin CptB;1;1;1;1;1;1;1;1;1
L-aspartate oxidase;1;1;1;1;1;1;1;1;1
ECF RNA polymerase sigma-E factor;1;1;1;1;1;1;1;1;1
Sigma factor AlgU negative regulatory protein;1;1;1;1;1;1;1;1;1
Sigma factor AlgU regulatory protein MucB precursor;1;1;1;1;1;1;1;1;1
putative periplasmic serine endoprotease DegP-like precursor;1;1;1;1;1;1;1;1;1
TPR repeat-containing protein YfgC precursor;1;1;1;1;1;1;1;1;1
Sulfurtransferase TusA;1;1;1;1;1;1;1;1;1
pheromone autoinducer 2 transporter;1;1;1;1;1;1;1;1;1
Putative peroxiredoxin bcp;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional repressor;1;1;1;1;1;1;1;1;1
4-hydroxy-tetrahydrodipicolinate synthase;1;1;1;1;1;1;1;1;1
lipoprotein;1;1;1;1;1;1;1;1;1
Putative metallo-hydrolase YycJ;1;1;1;1;1;1;1;1;1
Phosphoribosylaminoimidazole-succinocarboxamide synthase;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctB;1;1;1;1;1;1;1;1;1
Phytanoyl-CoA dioxygenase (PhyH);1;1;1;1;1;1;1;1;1
Cupin domain protein;1;1;1;1;1;1;1;1;1
Exoenzyme S synthesis regulatory protein ExsA;1;1;1;1;1;1;1;1;1
bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase;1;1;1;1;1;1;1;1;1
GtrA-like protein;1;1;1;1;1;1;1;1;1
Nodulation protein D 2;1;1;1;1;1;1;1;1;1
5-carboxymethyl-2-hydroxymuconate isomerase;1;1;1;1;1;1;1;1;1
Nodulation protein D 2;1;1;1;1;1;1;1;1;1
Gamma-glutamylputrescine synthetase PuuA;1;1;1;1;1;1;1;1;1
Phosphoethanolamine transferase EptA;1;1;1;1;1;1;1;1;1
ubiquinone/menaquinone biosynthesis methyltransferase;1;1;1;1;1;1;1;1;1
Ribonuclease D;1;1;1;1;1;1;1;1;1
Protein YcgL;1;1;1;1;1;1;1;1;1
Glyoxylate/hydroxypyruvate reductase A;1;1;1;1;1;1;1;1;1
malonic semialdehyde reductase;1;1;1;1;1;1;1;1;1
SpoU rRNA Methylase family protein;1;1;1;1;1;1;1;1;1
Copper-transporting P-type ATPase;1;1;1;1;1;1;1;1;1
spermidine synthase;1;1;1;1;1;1;1;1;1
cAMP receptor protein;1;1;1;1;1;1;1;1;1
Protease 2;1;1;1;1;1;1;1;1;1
Glutamine amidotransferases class-II;1;1;1;1;1;1;1;1;1
Putative niacin/nicotinamide transporter NaiP;1;1;1;1;1;1;1;1;1
LamB/YcsF family protein;1;1;1;1;1;1;1;1;1
Kinase A inhibitor;1;1;1;1;1;1;1;1;1
KipI antagonist;1;1;1;1;1;1;1;1;1
VWA domain containing CoxE-like protein;1;1;1;1;1;1;1;1;1
ATPase family associated with various cellular activities (AAA);1;1;1;1;1;1;1;1;1
Cysteine synthase A;1;1;1;1;1;1;1;1;1
Aspartyl/Asparaginyl beta-hydroxylase;1;1;1;1;1;1;1;1;1
EamA-like transporter family protein;1;1;1;1;1;1;1;1;1
putative DMT superfamily transporter inner membrane protein;1;1;1;1;1;1;1;1;1
Isocitrate dehydrogenase kinase/phosphatase;1;1;1;1;1;1;1;1;1
ATP-dependent RNA helicase HrpB;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] synthase 3;1;1;1;1;1;1;1;1;1
ECF RNA polymerase sigma-E factor;1;1;1;1;1;1;1;1;1
Porin O precursor;1;1;1;1;1;1;1;1;1
Aquaporin Z;1;1;1;1;1;1;1;1;1
Putative multidrug export ATP-binding/permease protein;1;1;1;1;1;1;1;1;1
Peptidyl-prolyl cis-trans isomerase A precursor;1;1;1;1;1;1;1;1;1
3-oxoadipate enol-lactonase 2;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator AllS;1;1;1;1;1;1;1;1;1
FMN-dependent NADH-azoreductase;1;1;1;1;1;1;1;1;1
Sensory/regulatory protein RpfC;1;1;1;1;1;1;1;1;1
EamA-like transporter family protein;1;1;1;1;1;1;1;1;1
Miniconductance mechanosensitive channel YbdG;1;1;1;1;1;1;1;1;1
ATP-dependent RNA helicase RhlE;1;1;1;1;1;1;1;1;1
Hemolysin transporter protein ShlB precursor;1;0;1;0;0;0;0;1;0
Hemolysin precursor;1;0;1;0;0;0;0;1;0
Transposase IS200 like protein;1;0;1;0;0;0;0;0;0
Transposase IS200 like protein;1;0;1;0;0;0;0;1;0
putative HTH-type transcriptional regulator YddM;1;1;1;1;1;1;1;1;1
Bacterial protein of unknown function (Gcw_chp);1;1;1;1;1;1;1;1;1
putative allantoin permease;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator GltR;1;1;1;1;1;1;1;1;1
Sodium/glucose cotransporter;1;1;1;1;1;1;1;1;1
Permease for cytosine/purines, uracil, thiamine, allantoin;1;1;1;1;1;1;1;1;1
Guanidinobutyrase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator CmpR;1;1;1;1;1;1;1;1;1
DTW domain protein;1;1;1;1;1;1;1;1;1
Type I secretion system membrane fusion protein PrsE;1;1;1;1;1;1;1;1;1
Toxin RTX-I translocation ATP-binding protein;1;1;1;1;1;1;1;1;1
Outer membrane efflux protein BepC precursor;1;1;1;1;1;1;1;1;1
Bifunctional hemolysin/adenylate cyclase precursor;1;1;1;1;1;1;1;0;1
Inner membrane protein YbaN;1;1;1;1;1;1;1;1;1
ATP-dependent DNA helicase RecQ;1;1;1;1;1;1;1;1;1
Transcriptional regulator SlyA;1;1;1;1;1;1;1;1;1
NTE family protein RssA;1;1;1;1;1;1;1;1;1
Rdx family protein;1;1;1;1;1;1;1;1;1
EamA-like transporter family protein;1;1;1;1;1;1;1;1;1
Regulatory protein SoxS;1;1;1;1;1;1;1;1;1
UDP-2,3-diacylglucosamine hydrolase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator VirS;1;1;1;1;1;1;1;1;1
Trk system potassium uptake protein TrkG;1;1;1;1;1;1;1;1;1
Putative NAD(P)H nitroreductase YdjA;1;1;1;1;1;1;1;1;1
Aspartate aminotransferase;1;1;1;1;1;1;1;1;1
Putative pterin-4-alpha-carbinolamine dehydratase;1;1;1;1;1;1;1;1;1
Phenylalanine-4-hydroxylase;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein TyrR;1;1;1;1;1;1;1;1;1
dTDP-4-amino-4,6-dideoxy-D-glucose transaminase;1;1;1;1;1;1;1;1;0
WbqC-like protein family protein;1;1;1;1;1;1;1;1;0
Spermidine N(1)-acetyltransferase;1;1;1;1;1;1;1;1;0
Phytanoyl-CoA dioxygenase (PhyH);1;1;1;1;1;1;1;1;0
bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase;1;1;1;1;1;1;1;1;0
Glycosyl transferase family 2;1;1;1;1;1;1;1;1;0
Flagellar basal-body rod protein FlgF;1;1;1;1;1;1;1;1;1
Flagellar basal-body rod protein FlgG;1;1;1;1;1;1;1;1;1
Flagellar L-ring protein precursor;1;1;1;1;1;1;1;1;1
Flagellar P-ring protein precursor;1;1;1;1;1;1;1;1;1
Peptidoglycan hydrolase FlgJ;1;1;1;1;1;1;1;1;1
Flagellar hook-associated protein 1;1;1;1;1;1;1;1;1;1
Flagellar hook-associated protein 3;1;1;1;1;1;1;1;1;1
GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase;1;1;1;1;1;1;1;1;0
N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase;1;1;1;1;1;1;1;1;0
3-oxoacyl-[acyl-carrier-protein] synthase 3;1;1;1;1;1;1;1;1;1
Flagellin;1;1;1;1;1;1;1;1;0
flagellar protein FlaG;1;1;1;1;1;1;1;1;1
Flagellar hook-associated protein 2;1;1;1;1;1;1;1;1;1
Flagellar protein FliS;1;1;1;1;1;1;1;1;1
Nitrogen assimilation regulatory protein;1;1;1;1;1;1;1;1;1
Sporulation kinase E;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein ZraR;1;1;1;1;1;1;1;1;1
Flagellar hook-basal body complex protein FliE;1;1;1;1;1;1;1;1;1
Flagellar M-ring protein;1;1;1;1;1;1;1;1;1
Flagellar motor switch protein FliG;1;1;1;1;1;1;1;1;1
Flagellar assembly protein FliH;1;1;1;1;1;1;1;1;1
Flagellum-specific ATP synthase;1;1;1;1;1;1;1;1;1
Flagellar FliJ protein;1;1;1;1;1;1;1;1;1
STAS domain protein;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein AfsQ1;1;1;1;1;1;1;1;1;1
Phosphotransferase RcsD;1;1;1;1;1;1;1;1;1
Flagellar hook-length control protein;1;1;1;1;1;1;1;1;1
flagellar basal body-associated protein FliL;1;1;1;1;1;1;1;0;1
Flagellar motor switch protein FliM;1;1;1;1;1;1;1;1;1
Flagellar motor switch protein FliN;1;1;1;1;1;1;1;1;1
Flagellar protein FliO;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FliP precursor;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FliQ;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FliR;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FlhB;1;1;1;1;1;1;1;1;1
Flagellar biosynthesis protein FlhA;1;1;1;1;1;1;1;1;1
Flagellar biosynthesis protein FlhF;1;1;1;1;1;1;1;1;1
Flagellum site-determining protein YlxH;1;1;1;1;1;1;1;1;1
RNA polymerase sigma factor FliA;1;1;1;1;1;1;1;1;1
Chemotaxis protein CheY;1;1;1;1;1;1;1;1;1
chemotaxis regulator CheZ;1;1;1;1;1;1;1;1;1
Chemotaxis protein CheA;1;1;1;1;1;1;1;1;1
Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon;1;1;1;1;1;1;1;1;1
Chemotaxis protein PomA;1;1;1;1;1;1;1;1;1
Motility protein B;1;1;1;1;1;1;1;1;1
Sporulation initiation inhibitor protein Soj;1;1;1;1;1;1;1;1;1
CheW-like domain protein;1;1;1;1;1;1;1;1;1
Chemotaxis protein CheW;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FlhB;1;1;1;1;1;1;1;1;1
Flagellar hook-length control protein FliK;1;1;1;1;1;1;1;1;1
Cytochrome c biogenesis ATP-binding export protein CcmA;1;1;1;1;1;1;1;1;1
Heme exporter protein B;1;1;1;1;1;1;1;1;1
Heme exporter protein C;1;1;1;1;1;1;1;1;1
Heme exporter protein D (CcmD);1;1;1;1;1;1;1;1;1
Cytochrome c-type biogenesis protein CcmE;1;1;1;1;1;1;1;1;1
Cytochrome c-type biogenesis protein CcmF;1;1;1;1;1;1;1;1;1
Thiol:disulfide interchange protein DsbE;1;1;1;1;1;1;1;1;1
Cytochrome c-type biogenesis protein CcmH precursor;1;1;1;1;1;1;1;1;1
Formate-dependent nitrite reductase complex subunit NrfG;1;1;1;1;1;1;1;1;1
Lipoteichoic acid synthase 1;1;1;1;1;1;1;1;1;1
Putative ketoacyl reductase;1;1;1;1;1;1;1;1;1
Glutamyl aminopeptidase;1;1;1;1;1;1;1;1;1
Cyanophycin synthetase;1;1;1;1;1;1;1;1;1
Asparagine synthetase [glutamine-hydrolyzing] 1;1;1;1;1;1;1;1;1;1
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC;1;1;1;1;1;1;1;1;1
Thymidylate kinase;1;1;1;1;1;1;1;1;1
3-ketoacyl-CoA thiolase;1;1;1;1;1;1;1;1;1
putative inner membrane transporter YhbE;1;1;1;1;1;1;1;1;1
Fumarate hydratase class II;1;1;1;1;1;1;1;1;1
transcriptional regulator BolA;1;1;1;1;1;1;1;1;1
putative rhodanese-related sulfurtransferase;1;1;1;1;1;1;1;1;1
DSBA-like thioredoxin domain protein;1;1;1;1;1;1;1;1;1
Multidrug resistance ABC transporter ATP-binding/permease protein BmrA;1;1;1;1;1;1;1;1;1
putative diguanylate cyclase YegE;1;1;1;1;1;1;1;1;1
TENA/THI-4/PQQC family protein;1;1;1;1;1;1;1;1;1
Diguanylate cyclase DosC;1;1;1;1;1;1;1;1;1
putative oxidoreductase YciK;1;1;1;1;1;1;1;1;1
Phosphoglycolate phosphatase;1;1;1;1;1;1;1;1;1
Ubiquinone biosynthesis O-methyltransferase;1;1;1;1;1;1;1;1;1
5-methylthioadenosine/S-adenosylhomocysteine deaminase;1;1;1;1;1;1;1;1;1
Methylthioribose-1-phosphate isomerase;1;1;1;1;1;1;1;1;1
DNA gyrase subunit A;1;1;1;1;1;1;1;1;1
Phosphoserine aminotransferase;1;1;1;1;1;1;1;1;1
Prephenate dehydratase;1;1;1;1;1;1;1;1;1
Histidinol-phosphate aminotransferase 2;1;1;1;1;1;1;1;1;1
3-phosphoshikimate 1-carboxyvinyltransferase;1;1;1;1;1;1;1;1;1
Cytidylate kinase;1;1;1;1;1;1;1;1;1
30S ribosomal protein S1;1;1;1;1;1;1;1;1;1
Integration host factor subunit beta;1;1;1;1;1;1;1;1;1
Chain length determinant protein;1;1;1;1;1;1;1;1;1
UDP-N-acetyl-D-glucosamine 6-dehydrogenase;1;1;1;1;0;1;0;1;0
UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase;1;1;1;1;0;1;0;1;0
UDP-2-acetamido-3-amino-2, 3-dideoxy-D-glucuronate N-acetyltransferase;1;1;1;1;0;1;0;1;0
